emitter/name;emitter/wikidata_id;emitter/ror_id
Goethe-University Frankfurt;;04cvxnb49
Goldsmiths College;;01khx4a30
Göteborgs Universitet / University of Gothenburg;;01tm6cn81
Göteborgs Universitet;;01tm6cn81
Graz University of Technology Library;Q2496350;
Greater Western Library Alliance;;035280t21
Griffith University;;02sc3r913
Gruppo Italiano Frattura (IGF);Q52637695;
Guest Marketing Service Ltd;Q52667636;
Guest Marketing Services Ltd;Q52667636;
Halmstad University;;03h0qfp10
Hamburg University of Technology;;04bs1pb34
Hampden-Sydney College;;02mb9s657
Hanken School of Economics;;026086s92
Harrisburg University of Science and Technology;;02g0s4z48
Harvard University, Harvard Library Technical Services, ;Q3232931;
Harvard University, Harvard Library Technical Services,;Q3232931;
Harvard University;;03vek6s52
Hasselt University;;04nbhqj75
HCL - Hospices civils de Lyon;;01502ca60
HEAL Link;Q76612426;
HeBIS-konsortium, Universitaetsbibliothek Johann Christian Senckenberg;Q76612424;
Helmholtz-Zentrum Potsdam;;04z8jg394
Hertie School gGmbH - Library and Information Services;Q28739032;
Hertie School gGmbH;;0473a4773
Hillsborough Community College;;01x63gj61
Hochschul- und Landesbibliothek RheinMain / RheinMain University of Applied Sciences;;0378gm372
Hochschule Fulda - University of Applied Sciences;;041bz9r75
Hochschule für angewandte München;;012k1v959
Hochschule für angewandte Wissenschaften München;;012k1v959
Hochschule Luzern;;04nd0xd48
Högskolan i Gävle;;043fje207
Högskolan Vest;;0257kt353
Hollins University;;05dt3h538
Horry-Georgetown Technical College;Q5905297;
Höskolan i Gävle;;043fje207
Hospice civiles de Lyon ;;01502ca60
Humboldt-Universität zu Berlin;;01hcx6992
Hungarian Academy of Sciences;;02ks8qq67
Iași University of Life Sciences;;01s1a1r54
IEEE ;;01n002310
IEEE (Institute of Electrical and Electronics Engineers);;01n002310
IEEE;;01n002310
IET (The Institution of Engineering and;;01xqg1464
IFP Énergies nouvelles;;03gcbhc33
IFREMER - Institut Français de Recherche pour l'Exploita;;044jxhp58
IFREMER - Institut Français de Recherche pour l'Exploitation de la Mer;;044jxhp58
IFREMER;;044jxhp58
Imperial College of Science, Technology and Medicine;;041kmwe10
IMT Atlantique  Bretagne - Pays de la Loire;;030hj3061
IMT Atlantique Bretagne - Pays de la Loire;;030hj3061
INCAS - National Institute for Aerospace Research “Elie Carafoli”, INCAS Bucuresti;;047bj7979
Indiana University-Bloomington;;02k40bc56
Inland Norway University Of Applied Sciences;;02dx4dc92
INPT - Institut national polytechnique de Toulouse;;033p9g875
INRAE - Institut national de recherche pour l’agriculture, l’alimentation et l’environnement;;003vg9w96
INRIA - Institut National de Recherche en Informatique e;;02kvxyf05
INRIA - Institut National de Recherche en Informatique et en Automatique;;02kvxyf05
INSA Lyon - Institut National des Sciences Appliquées de Lyon;;050jn9y42
INSA Lyon - Institut National des Sciences Appliquées de;;050jn9y42
INSA Lyon;;050jn9y42
INSEP - Institut National du Sport, de l'Expertise et de la Performance;;03jczk481
INSEP - Institut National du Sport, de l'Expertise et de la;;03jczk481
Institut für Höhere Studien;;05ag62t55
Institute of Information Science (IZUM);;055q8rh54
Institute of Information Science;;055q8rh54
Institute of Physics;Q513283;
Institute of Science and Technology Austria (ISTA);;03gnh5541
Institute of Science and Technology Austria;;03gnh5541
Instituto Tecnologico y de Estudios Superiores de Monterrey;;03ayjn504
INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY;;03ayjn504
International Union for Conservation of Nature;;00edv6x70
Iowa State University;;04rswrd78
IRD - Institut de Recherche pour le Développement;;05q3vnk25
IReL, Maynooth University Library;;05c347015
IRSN - Institut de Radioprotection et de Sûreté Nucléaire;;01ha22c77
J Sargeant Reynolds Community College;;02pbwqv79
J. Sargeant Reynolds Community College;;02pbwqv79
James Madison University;;028pmsz77
Jisc Services Ltd;;01rv9gx86
JMIR Publications Inc.;;03dhk1t70
JMIR Publications;;03dhk1t70
Johannes Kepler Universität Linz;;052r2xn60
Johannes Kepler University Linz;;052r2xn60
John Carroll University;;001gmya32
John Wiley and Sons LTD;;000gm1k91
John Wiley and Sons LTD;;02xe89706
Johns Hopkins University;;00za53h95
Kalamazoo College;;001qst305
Kansas State University;;05p1j8758
Kantons- und Universitätsbibliothek Freiburg;Q29479079;
Karl Franzens Universität Graz;;01faaaf77
Karl-Franzens-Universität Graz;;01faaaf77
Karlstad University;;05s754026
Karolinska Institutet;;056d84691
Katholieke Universiteit Leuven (KU Leuven);;05f950310
Katholische Universität Eichstätt-Ingolstadt;;00mx91s63
KEAI - Guest Marketing Service Ltd;Q52667636;
KEAI (Guest marketing services China);Q52667636;
Kent State University Libraries;Q58241896;
Kent State University;;049pfb863
Kenyon College;;04ckqgs57
King Abdullah University of Science & Technology,;;01q3tbs38
King's College London;;0220mzb33
KIT-Bibliothek Medienbearbeitung;Q1718711;
Konsortium Baden-Württemberg;Q76612447;
Konsortium d. Sächsischen Hochschulbibliotheken;Q134580046;
Konsortium der Sächsischen Hochschulbibliotheken / Sachsenkonsortium c/o SLUB Dresden - Saxon;;01jmqcy63
Konsortium der Sächsischen Hochschulbibliotheken / Sachsenkonsortium c/o SLUB Dresden;Q134580046;
Korea Institute of Science and Technology Information (KISTI);;01k4yrm29
Kungliga Tekniska högskolan / Royal Institute of Technology;;026vcq606
Kwantlen Polytechnic University;;04raxj885
La Rochelle Université;;04mv1z119
Lafayette College;;036n0x007
Lake Erie College;;00dvjtq12
Lakehead University;;023p7mg82
Lane Community College ;;05113n960
Lane Community College;;05113n960
Laurea University of Applied Sciences;;05h664633
Laurel Ridge Community College;Q6679233;
Laurentian University;;03rcwtr18
Le Mans Université;;01mtcc283
Lehigh University;;012afjb06
Lehmanns Media GmbH;Q1813147;
Lewis & Clark College;;013pz1582
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;;021f7p178
Liberty University;;00w4qrc49
Library and Information Centre of the Hungarian Academy of Sciences;;04ws47v52
Library Collection Services – Central Serials  University of British Columbia;Q7895142;
Linfield University;;0228k1a18
Linköpings universitet / Linköping University;;05ynxx418
Linköpings universitet;;05ynxx418
Linnéuniversitetet / Linnaeus University;;00j9qag85
Linnéuniversitetet;;00j9qag85
Liverpool John Moores University;;04zfme737
London School of Economics & Political Science;;0090zs177
London South Bank University;;02vwnat91
Loughborough University;;04vg4w365
Louisiana State University;;05ect4e57
Loyola University Chicago;;04b6x2g63
Lund University;;012a77v79
Lunds Universitet;;012a77v79
Luther College;;03dqcb840
Maastricht University;;02jz4aj89
Macalester College;;04fceqm38
MacEwan University;;003s89n44
Macquarie University;;01sf06y89
Mälardalen University;;033vfbz75
Malmö University;;05wp7an13
Manchester Metropolitan University;;02hstj355
Marie Cederschiöld University AB;;00ajvsd91
Marymount University;;0008kv292
Massachusetts Institute of Technology;;042nb2s44
Massey University;;052czxv31
Max Planck Digital Library;;0061msm67
Maynooth University;;048nfjm95
McMaster University;;02fa3aq29
MDPI AG;;00ckv2g77
Memorial University of Newfoundland;;04haebc03
Metropolia University of Applied Sciences;;03hdaef25
Miami University-Hamilton;;05nbqxr67
Miami University-Middletown;;05nbqxr67
Miami University;;05nbqxr67
Michigan State University;;05hs6h993
Mid Sweden University Library;;019k1pd13
MNHN - Muséum National d'Histoire Naturelle;;03wkt5x30
Molde University College - Specialized University in Logistics;;00kxjcd28
Monash University;;02bfwt286
Mount Saint Vincent University;;03g3p3b82
Mountain Empire Community College;;04tf8qk07
Mt Hood Community College;;001cbt815
Muséum National d'Histoire Naturelle - MNHN;;03wkt5x30
National and University Library;;04570m236
National library of Luxembourg;;05e0vkr08
National Library of Luxembourg;;05e0vkr08
National Library of the Netherlands;;02w4jbg70
National Science Library, Chinese Academy of Sciences;;04ndjyr10
NEICON;;0012p6j68
Nerac Inc;Q17110982;
NERAC Inc.;Q17110982;
NERL Consortium;;0435xdk58
New River Community College;;05eqkxh55
New York University;;0190ak572
Newcastle University ;;01kj2bm70
Nipissing University;;05k14ba46
Nord University;;030mwrt98
Norfolk State University;;030pydv62
Northern Michigan University;;01epvyf46
Northern Virginia Community College;;04wzh0d51
Northwestern University;;000e0be47
Norwegian Agency for Shared Services in Education and Research (Sikt);;03zee5r16
Norwegian Business School;;03ez40v33
Norwegian Institute of Bioeconomy Research (NIBIO);;04aah1z61
Norwegian Institute of Bioeconomy Research;;04aah1z61
Norwegian School Of Economics;;04v53s997
Norwegian School Of Sport Sciences - The Library;;045016w83
Norwegian University of Life Sciences;;04a1mvv97
Norwegian University of Science and Technology ;;05xg72x27
Norwegian University of Science and Technology (NTNU);;05xg72x27
Norwegian University of Science and Technology;;05xg72x27
Nova Scotia Community College;;023sej223
Novartis Pharma AG;;02f9zrr09
Novia University of Applied Sciences;;05e08rb26
Novo Nordisk A/S;;0435rc536
NSD - Norwegian Center for Research Data;;04y3kre43
NWO (the Dutch Research Council);;04jsz6e67
NWO, Financial Department ;;04jsz6e67
NWO, Financial Department;;04jsz6e67
NYPL;;02eysy271
OA.Works;Q115627203;
Oberlin College;;05ac26z88
Observatoire de Paris-PSL;;029nkcm90
OCLC;;02nv42w72
OCUL consortium;;028215596
Ohio Christian University;;02nv0qb16
Ohio Dominican University;;00pmncr36
Ohio Northern University;;052963a64
Ohio State University;;00rs6vg23
Ohio Wesleyan University;;02qj9qr34
OhioLINK;;05bqcch62
Oklahoma State University;;01g9vbr38
Old Dominion University;;04zjtrb98
Open Academia;Q134068158;
Open University;;05mzfcs16
Orbis Cascade Alliance ;Q7100024;
Orbis Cascade Alliance;Q7100024;
Örebro Universitet;;05kytsw45
Oregon Health & Science University;;009avj582
Oregon Institute of Technology;;03c36x865
Oregon State University;;00ysfqy60
OsloMet - Oslo Metropolitan University;;04q12yn84
Ostfold University College;;04gf7fp41
Otterbein University;;0384yev14
Our Research (Impactstory);;02nr0ka47
OurResearch (Impactstory);;02nr0ka47
Oxford Brookes University;;04v2twj65
Oxford University Press;;0336mm561
PALCI;;02m6s1q30
Paris Lodron Universitat Salzburg (PLUS);;05gs8cd61
Paris Lodron Universitat Salzburg;;05gs8cd61
Pasco-Hernando State College;;03etbcx90
PeerJ, Inc;;03x9snd86
Pennsylvania State University;;04p491231
Pensoft Publishers;;01znaqx63
Peytchinski Publishing Ltd;Q52611602;
Peytchinski Publishing Ltd.;Q52611602;
Peytchinski Publishing Ltd.;Q52611602;
Philadelphia Museum of Art;;050041j09
Piedmont Technical College;;039y7c549
Piedmont Virginia Community College;;02tw58061
Portland Community College;;01e4pq504
Portland State University;;00yn2fy02
Pratt Institute Libraries;Q20011448;
Princeton University;;00hx57361
Public Library of Science (PLOS);;008zgvp64
Public Library of Science;;008zgvp64
Publishers Licensing Services (PLS);;03ssym444
Purdue University;;02dqehb95
Qatar National Library;;02jv93662
Queen Mary University of London;;026zzn846
Queen Mary, University of London;;026zzn846
Queen's University Belfast;;00hswnk62
Queen's University;;02y72wh86
Queensland University of Technology;;03pnv4752
Randolph-Macon College;;03zstcc67
Reed College;;00a6ram87
Regent University;;00jhyq802
Robert Koch Institut;;01k5qnb77
Robert Koch-Institut;;01k5qnb77
Robert Morris University;;03r24vd05
Roskilde University Library RUC;Q21107598;
Roswell Park Cancer Institute;;0499dwk57
Roswell Park Comprehensive Cancer Center;;0499dwk57
Rowan University;;049v69k10
Royal College of Surgeons in Ireland;;01hxy9878
Royal Danish Library;;03vvy0v27
Royal Roads University;;05w4ste42
Royal Society of Chemistry;;025sbr097
Ruhr-Universität Bochum;;04tsk2644
Rutgers University;;05vt9qd57
RWTH Aachen University, Universitätsbibliothek;Q28733446;
RWTH Aachen University;;04xfq0f34
S Karger AG;;0572q5a45
Saarländische Universitäts- und Landesbibliothek;Q1518713;
Sachsenkonsortium  c/o SLUB Dresden;;03wf51b65
Sage Publications, United Kingdom;;05534qc24
Sage Publications;;05534qc24
Saint Martin's University;;01awd1q38
Saint Mary’s University;;010zh7098
San Diego State University;;0264fdx42
San Francisco State University;;05ykr0121
San Jose State University;;04qyvz380
Schweizerischer Nationalfonds - Swiss National Science Foundation (SNSF);;00yjd3n13
Sciences Po Grenoble - Institut d'Etudes Politiques de Gr;;03c7zyj82
Sciences Po Grenoble - Institut d'Etudes Politiques de Grenoble;;03c7zyj82
Scientia Agropecuaria;Q50808472;
SciFree AB;Q124672686;
Seattle Pacific University;;02gzbg991
Seattle University;;02jqc0m91
Semmelweis University Central Library;;01g9ty582
Semmelweis University;;01g9ty582
Seton Hall University;;007tn5k56
Shawnee State University;;0095r2297
Sheffield Hallam University;;019wt1929
Shenandoah University;;05w0p9h92
Sikt Bibliotekkonsortier;;03zee5r16
Simon Fraser University;;0213rcc28
SirsiDynix (Cloudsource and Search);Q3485305;
SirsiDynix;Q3485305;
SLSP AG (Swiss Library Service Platform), Konsortium der Schweizer Hochschulbibliotheken;;01jmqcy63
SLU University Libraries;Q61754219;
Smith College;;0497crr92
Sonoma State University;;04wjxkk25
Sorbonne Université;;02en5vm52
South Florida State College;;05ta7wm04
South-Eastern Finland University of Applied Sciences;;051v6v138
Southern Arkansas University – Magale Library ;;036sak533
Southern Arkansas University;;036sak533
Southern Methodist University;;042tdr378
Southern Oregon University;;010kva064
Spanish National Research Council (CSIC);;02gfc7t72
Specialpedagogiska skolmyndigheten/ National Agency for Special Needs Education and Schools;;01jq9hd27
Springer Nature Ltd;;0117jxy09
Staats- und Universitaetsbibliothek Bremen;;04cwb1p56
State Library of Queensland;Q2050653;
Stiftung Wissenschaft und Politik (SWP);Q542252;
Stockholm School of Economics / Handelshögskolan i Stockholm;Q1061504;
Stockholm University Library;Q10680674;
Sveriges lantbruksuniversitet/ Swedish University of Agricultural Sciences;;02yy8x990
Swarthmore College;;012dg8a96
Swedish research Council;;03zttf063
Swiss Federal Institute of Technology Zurich (ETH Zurich);;05a28rw58
Swiss National Science Foundation;;00yjd3n13
Syddansk Universitet;;03yrrjy16
Syracuse University;;025r5qe02
Tampere University including Tampere University Hospital;;033003e23
Taylor & Francis Group Ltd;;04bd6je18
Taylor & Francis, A Trading Division of Informa UK Ltd;;04bd6je18
Technical University Dublin;;04t0qbt32
Technical University, Darmstadt;;05n911h24
Technical Universty, Darmstadt;;05n911h24
Technische Hochschule Ingolstadt;;02bxzcy64
Technische Hochschule Würzburg Schweinfurt;;01k5h5v15
Technische Informationsbibliothek (TIB);;04aj4c181
Technische Informationsbibliothek;;04aj4c181
Technische Universität Berlin Universitätsbibliothek;Q190261;
Technological University Dublin;;04t0qbt32
Teesside University Library;;03z28gk75
Texas A&M University;;01f5ytq51
Texas Christian University ;;054b0b564
Texas Christian University;;054b0b564
Texas State University;;05h9q1g27
Texas Tech University;;0405mnx93
The Austrian Library Network and Services Ltd;Q108928882;
The Austrian Library Network and Services Ltd;Q108928882;
The Evergreen State College ;;043yd1m08
The Evergreen State College;;043yd1m08
The George Washington University;;00y4zzh67
The Institution of Engineering and Technology (IET);;01xqg1464
The Institution of Engineering and Technology;;01xqg1464
The Journal Consortium and FMI Faculty of Medicine, Universitas Airlangga;Q73908345;
The National Library of Sweden / Kungliga biblioteket;;049bh0z35
The National Library of Sweden;;049bh0z35
The Royal Library of Belgium (KBR);;0105w2p42
The Royal Library;;03vvy0v27
The Trustees of Columbia University in the City of New York;Q106696880;
The University of Tennessee, Knoxville;;020f3ap87
The White Horse Press;Q56293341;
Thompson Rivers University;;01v9wj339
Tidewater Community College;;04x2ven38
Tilburg University;;04b8v1s79
Toronto Metropolitan University;;05g13zd79
Toulouse INP - Institut National Polytechnique de Toulo;;033p9g875
Trent University;;03ygmq230
Tri-County Technical College;;037asfw97
Trinity College Dublin;;02tyrky19
Trinity College;;03j3dbz94
Trinity University  ;;00t8gz605
Trinity University;;00t8gz605
Tsinghua University Press;Q10390855;
TU Delft Library;Q2541583;
TU Eindhoven;;02c2kyt77
TU WIEN Bibliothek;Q2496357;
Tufts University;;05wvpxv85
Tulane University;;04vmvtb21
Turku University of Applied Sciences;;04s0yt949
UB Eichstätt-Ingolstadt;Q22694379;
Ubiguity Press;;00qpqrv96
Ubiquity Press;;00qpqrv96
UBO - Université de Bretagne occidentale;;01b8h3982
UiT The Arctic University of Norway;;00wge5k78
Umeå Universitet;;05kb8h459
Umeå Universitetsbibliotek / Umea University;;05kb8h459
Umeå Universitetsbibliotek;Q10709207;
Umpqua Community College;;0574rre95
UNILIM - Université de Limoges;;02cp04407
Unit - Direktoratet for IKT og fellestjenester i høyere utdanning og forskning;Q55097783;
Universidad Distrital Francisco José de Caldas;;02jsxd428
Universidad Nacional de Colombia;;059yx9a68
Universidade de Porto;;043pwc612
Università della Svizzera italiana;;03c4atk17
Universitaet Wien;;03prydq77
Universitaetsbibliothek Bochum;Q2496285;
Universitas Islam Indonesia;;000pmrk50
Universitas Jenderal Achmad Yani - Faculty of Pharmacy.;Q74529296;
Universitat Autònoma de Barcelona;;052g8jq94
Universität Basel;;02s6k3f65
Universität Bern;;02k7v4d05
Universität für Musik und darstellende Kunst Wien;;000ymgt65
Universität Greifswald Universitätsbibliothek;;00r1edq15
Universität Heidelberg Universitätsbibliothek;Q880794;
Universität Hohenheim Kommunikations-, Informations- und Medienzentrum;Q690912;
Universität Klagenfurt;;05q9m0937
Universität Konstanz Kommunikations-, Informations-, Medienzentrum;Q37979269;
Universität Luzern;;00kgrkn83
Universität Mannheim;;031bsb921
Universität Mozarteum Salzburg;;00tfmqe91
Universitat Oberta de Catalunya;;01f5wp925
